missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper	missing_cells_proportion
MAR	0.05	lin	ev	0.9999999994021163	0.9999999993698907	0.9999999994252586	0.9807111794039356	0.9770686560932778	0.9843926636400475	0.9807138337929757	0.9770719920150059	0.9844556689238237	0.9781237344717079	0.9752310454549675	0.9804637500909213	0.9306443046377355	0.9091094957617473	0.9444957245149619	0.9306443046790822	0.9091094959756576	0.9444957244226543	0.024199999999999996
MAR	0.05	lin	mse	5.970608802657743e-10	5.801124238571978e-10	6.115469103981803e-10	0.019243454211480483	0.01568669520764479	0.022616762097376134	0.01924097117415638	0.01562338885418731	0.022649113995030508	0.021836187185907355	0.01956980628018002	0.0244271853806524	0.06926741777475594	0.055895706028341416	0.091368140833505	0.06926741773306211	0.055895706121298155	0.09136814061871495	0.024199999999999996
MAR	0.15	lin	ev	0.9999999994006199	0.9999999993773433	0.9999999994185478	0.9541480895184191	0.9496768386160006	0.9616590121362341	0.9542159066283414	0.949600739493411	0.9619403441890627	0.9455076448026658	0.9381051779643537	0.951783026853032	0.9091102906188055	0.9000047703161216	0.9192201869604564	0.9091102906475784	0.9000047704527058	0.9192201869474477	0.07299999999999998
MAR	0.15	lin	mse	5.984765204207605e-10	5.841531553241768e-10	6.091644291855741e-10	0.0457936267838153	0.03870041979231764	0.0507633554521124	0.04572518532172078	0.03842888830025404	0.05076495884826439	0.05442996153375623	0.048672548740072444	0.06173130354537143	0.09076522745211572	0.08159595077968006	0.09942636473935465	0.09076522742308486	0.08159595079277536	0.0994263646006964	0.07299999999999998
MAR	0.25	lin	ev	0.999999999404628	0.9999999993713908	0.9999999994280047	0.9278340365401567	0.9234054984239481	0.9345010799474818	0.9280379566247596	0.923509180988606	0.9346874634347657	0.914710513688539	0.9073823870181641	0.9209713418451683	0.8851887822066511	0.8747941741447631	0.8926160849541367	0.8851887821768287	0.8747941741079879	0.892616084961489	0.12250000000000001
MAR	0.25	lin	mse	5.947977857910816e-10	5.827771154102849e-10	6.112826992300126e-10	0.07209176858944816	0.06522409299627588	0.07726175273086268	0.07188648245589437	0.06506697639201359	0.07687218871552662	0.08520958691396364	0.0786482775293581	0.09351646224037874	0.11468986390608385	0.10629548761238498	0.12452739007929498	0.11468986393586719	0.10629548770858138	0.12452739013335784	0.12250000000000001
MAR	0.35	lin	ev	0.9999999994072739	0.9999999993785152	0.9999999994292591	0.9028651081940579	0.8971098245003808	0.9086324357643237	0.903114615084745	0.8978206818680299	0.9085625585929576	0.8835363343092384	0.8777493471294227	0.8896411832440536	0.8601081487357544	0.8507304363537581	0.8688430336469465	0.8601081487139395	0.8507304362799895	0.8688430336453005	0.17189999999999997
MAR	0.35	lin	mse	5.922809634103191e-10	5.822832884498054e-10	6.091233122008122e-10	0.09707003039406618	0.0887835415820512	0.10257959738023859	0.09681946451818112	0.08885146070249758	0.10235542972915262	0.11638588707579622	0.10728113373624878	0.12251703352411963	0.13974077084176656	0.12996259609210503	0.14966529984553473	0.13974077086436615	0.1299625960758099	0.14966529993434807	0.17189999999999997
MAR	0.44999999999999996	lin	ev	0.9999999993976404	0.9999999993598954	0.9999999994246812	0.8788102117115336	0.873423541002543	0.8857746999386256	0.8791538329655465	0.8740102863431999	0.8852984776898338	0.8515957831237978	0.8402879786841504	0.8620179912869699	0.8367050330338289	0.8264202372524021	0.8477900847787869	0.8367050330204895	0.8264202372579009	0.8477900847494512	0.21910000000000002
MAR	0.44999999999999996	lin	mse	5.997706761485704e-10	5.74677241199822e-10	6.159467050186051e-10	0.12106313209239664	0.11478281667524083	0.12702619369521653	0.12071871625090698	0.11526145869071033	0.12643872776511283	0.14821727935730541	0.13782140336144516	0.15643454523158357	0.16313224214581787	0.15375995593860464	0.17535788844814404	0.16313224215898092	0.1537599559698305	0.17535788847787756	0.21910000000000002
MAR	0.5499999999999999	lin	ev	0.9999999994003232	0.9999999993635633	0.9999999994327425	0.8605723185175691	0.8537902763991332	0.8660041897584259	0.8610378418277209	0.8547069478231855	0.8666992788142888	0.8252960319957936	0.8182936505955942	0.8316956568350518	0.8130374899639741	0.8039000868431615	0.8229847131226591	0.813037489974721	0.8039000868779087	0.8229847131230426	0.2688
MAR	0.5499999999999999	lin	mse	6.006908257876837e-10	5.783962661210746e-10	6.257852110521049e-10	0.13931362111062667	0.1325007999154147	0.14558807555005787	0.13884384072882974	0.13181526833000037	0.14476376424265108	0.17454634607491096	0.16605144869923666	0.1810742508152689	0.1867675410201425	0.17972172725874916	0.19685722120479104	0.18676754100933424	0.1797217272631288	0.19685722116667348	0.2688
MAR	0.65	lin	ev	0.9999999993951463	0.9999999993545772	0.9999999994424276	0.8429352268452206	0.8363270955940207	0.8487790764575409	0.8435201197966131	0.8374089914758771	0.8496053858374915	0.797557200088083	0.7903274644938113	0.8047786385109434	0.7934074943041733	0.7839008953970062	0.8016381494849965	0.7934074943068635	0.7839008953549416	0.801638149494312	0.3183
MAR	0.65	lin	mse	6.067174875914356e-10	5.831893897775082e-10	6.317900452303558e-10	0.15695457192332365	0.1486237151598583	0.16507009139230938	0.1563629191913877	0.1483607911130709	0.1634136678950003	0.20225672262315642	0.19404043787684916	0.2083943155160644	0.2064037264858604	0.19566828166772948	0.21795120048236716	0.20640372648308816	0.1956682816395492	0.21795120050162453	0.3183
