missing_type	missing_rows_percentage	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper	missing_cells_percentage
MAR	0.05	lin	ev	1.0	1.0	1.0	0.9812101249846588	0.9745038053046577	0.9886340753322138	0.9813344349665118	0.9748223946375709	0.9886322117639837	0.9813170095787023	0.9758947807455669	0.9865654821412931	0.9844282388375692	0.9794219902674139	0.9890676507074415	0.9844282388445837	0.979421990317934	0.9890676507022313	0.024299999999999995
MAR	0.05	lin	mse	1.4129429827663758e-30	3.3960494368048335e-31	2.5007644831584622e-30	0.018849186319578833	0.011580163220295609	0.02555731782504036	0.018724387435754077	0.011582275240942274	0.0252364565357856	0.018750343389354423	0.013684528999254795	0.024052321734790147	0.01563718006469817	0.010989767358489486	0.02056644856326472	0.015637180057345063	0.010989767363804914	0.020566448511465392	0.024299999999999995
MAR	0.15	lin	ev	1.0	1.0	1.0	0.9553791382718563	0.9510831432259331	0.960927979534264	0.9556149568411436	0.9514049690412715	0.9612205307058396	0.9530699987520641	0.9475305657361268	0.9577133305114784	0.9649507435371627	0.9606445155124238	0.9696163498424843	0.9649507435435893	0.9606445155151403	0.9696163498380803	0.07349999999999998
MAR	0.15	lin	mse	6.850841323272368e-31	1.9580164650726787e-31	1.7329224490610518e-30	0.0447936516757372	0.040047260819225924	0.04887500567480803	0.04455624975813487	0.03974360357622543	0.04854154466934425	0.04711693290758435	0.04336276746756223	0.05240527389202171	0.035183976451656586	0.030733040199424314	0.03908723016381184	0.03518397644521226	0.0307330402039936	0.03908723016694783	0.07349999999999998
MAR	0.25	lin	ev	1.0	1.0	1.0	0.9303650714249085	0.926321113482051	0.9361309950605939	0.9307010549525625	0.9268583973485514	0.9363496376353091	0.9260008939634037	0.9209474781296383	0.9323291495446289	0.9446398800258633	0.9386846547853834	0.9510196501962084	0.9446398800225511	0.9386846547799017	0.9510196501970782	0.1222
MAR	0.25	lin	mse	1.1008923495132653e-30	5.6765249196068195e-31	2.3788848771498887e-30	0.06996755684036936	0.06327706039431652	0.07451315531428371	0.06962923928396827	0.06316178766139112	0.0742835293638896	0.07435821826153302	0.06728320738275845	0.0793805634520604	0.055619039074778845	0.04937357111174123	0.06140828616737142	0.055619039078079816	0.04937357110790386	0.06140828617274644	0.1222
MAR	0.35	lin	ev	1.0	1.0	1.0	0.9052286263806788	0.9010626756607569	0.9118177463537105	0.9058310084981326	0.901902385495865	0.9122631221245325	0.8986247054460726	0.894873306496849	0.9024834525282293	0.9237531573104205	0.9129794771262241	0.9304101193484478	0.9237531573035858	0.9129794771258121	0.930410119345652	0.1712
MAR	0.35	lin	mse	7.92683423077677e-31	2.9463365948781432e-31	1.7451424991861013e-30	0.09525880306775408	0.08738350355452987	0.10063052348707024	0.09465268889897364	0.08694275888436129	0.09991689251051136	0.10186965083515172	0.09673028313678994	0.10612175723843872	0.07659649153285016	0.06911023850491513	0.08770703487218694	0.07659649153982201	0.06911023850814621	0.08770703487258336	0.1712
MAR	0.44999999999999996	lin	ev	1.0	1.0	1.0	0.8872247744635094	0.8815236929435395	0.8959942740779019	0.8878704838889522	0.8823683150535697	0.896438379609707	0.8772868375960167	0.8725726564056446	0.8863036967654745	0.902785946613494	0.8926635769394722	0.912943666323254	0.902785946607408	0.8926635769083915	0.9129436663218533	0.21989999999999998
MAR	0.44999999999999996	lin	mse	1.1084758804462265e-30	2.4549787373590085e-31	2.6571562892461873e-30	0.11332576497987654	0.10314169751350555	0.1203513961273101	0.11267702982760604	0.1027015367050276	0.11968822833299218	0.12329387369488023	0.11278193096192568	0.1303714166375237	0.09771744275546022	0.0863303233759599	0.11008380963333428	0.09771744276168415	0.0863303233772961	0.11008380966540568	0.21989999999999998
MAR	0.5499999999999999	lin	ev	1.0	1.0	1.0	0.8671143094918936	0.8564516707749419	0.875605436059739	0.8679147361269589	0.8574848184459086	0.8764199272577623	0.8549398960430187	0.8461995706535668	0.8641012234538614	0.8804492777715881	0.8716060802720487	0.8881670666913144	0.8804492777760393	0.8716060802701657	0.8881670666964987	0.2688
MAR	0.5499999999999999	lin	mse	1.2983383301975343e-30	3.507956867308072e-31	2.3645248822158202e-30	0.13362613310544932	0.12343070999325426	0.1449882199170338	0.13282191279746275	0.12262053864484378	0.1439460281019478	0.14582451381332426	0.13531305581693015	0.15525566156953935	0.12026391338995124	0.11095824563408456	0.13102280713618997	0.12026391338543718	0.11095824562892376	0.13102280713814796	0.2688
MAR	0.65	lin	ev	1.0	1.0	1.0	0.8532472933757169	0.8485651463974144	0.8594836428005268	0.8539809110152564	0.849641934207481	0.8604223676148827	0.8385085990651284	0.8350554951120996	0.844772880154831	0.8666318811906448	0.8586973708167651	0.8752053456718011	0.8666318811863878	0.8586973708189334	0.8752053456617002	0.31720000000000004
MAR	0.65	lin	mse	1.2347432207065803e-30	3.48329357053465e-31	2.3466826608605924e-30	0.147468942071641	0.13972602272871562	0.15353029297787996	0.14672869166078528	0.13915561423515366	0.15300171345522845	0.16225376694271731	0.1562388170979546	0.16558838054145286	0.13403325579854924	0.12381352936623219	0.14190406810655293	0.13403325580288822	0.12381352937635243	0.14190406810639772	0.31720000000000004
MAR	0.75	lin	ev	1.0	1.0	1.0	0.8476882202988991	0.8427425082432168	0.8535863142886175	0.8486675310861195	0.8438557448654345	0.854753015457721	0.8250207823826502	0.821381423482636	0.8310328229259907	0.8455039941330377	0.8395142914567573	0.8566499546958735	0.8455039941344236	0.8395142914562415	0.8566499546921036	0.36669999999999997
