missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper	missing_cells_proportion
MAR	0.05	lin	ev	0.9999996822920734	0.9999996745915696	0.9999996937309041	0.9627472261882601	0.9569219542882681	0.9681205984916641	0.9627278692563539	0.9571102332026871	0.968168685160508	0.9408176038133276	0.9333891854682511	0.9527377190299526	0.7123293580476313	0.6591505112864398	0.7405343496151424	0.7123293579340302	0.6591505118926662	0.7405343497006442	0.024299999999999995
MAR	0.05	lin	mse	3.174177941141945e-07	3.08411578589422e-07	3.259389388104385e-07	0.03731072607450723	0.03153777584936018	0.04346917905146841	0.037330370005088875	0.03148994439009855	0.0432800418097372	0.05927137491274041	0.04670784887393937	0.06698307855919217	0.28801264297182205	0.25730351451993705	0.3430762660322286	0.2880126430840337	0.257303516106884	0.3430762654215866	0.024299999999999995
MAR	0.15	lin	ev	0.9999996827354805	0.99999967420665	0.9999996955407013	0.9175467418565025	0.9085775083836498	0.9267915912109983	0.9176382851363634	0.9085596737044297	0.9269944556025758	0.8840293734890338	0.873264097296037	0.8954828069550886	0.7088740501325917	0.7003986773897719	0.7187524668391274	0.7088740501719002	0.7003986773724353	0.7187524669087912	0.07369999999999999
MAR	0.15	lin	mse	3.1941296619896924e-07	3.080113390508736e-07	3.304468054700095e-07	0.08252874650827677	0.07255952938660888	0.0912436425690843	0.08243833486971072	0.0725226255998177	0.09126402194217448	0.11606836791234412	0.1028341164409248	0.1257252197502091	0.29137313170161167	0.2791292966651423	0.30037099405240386	0.2913731316600804	0.2791292965407665	0.3003709936718415	0.07369999999999999
MAR	0.25	lin	ev	0.9999996822370368	0.9999996661381334	0.9999996950140767	0.8781019484846688	0.8623951354047616	0.8890046848225519	0.8781779627430083	0.8620327027471802	0.8890053144972698	0.8350418860549734	0.8159049461437968	0.8475752979911375	0.6753001773181957	0.6637125836095021	0.6864372228663973	0.6753001774330742	0.663712583892599	0.6864372228843749	0.1212
MAR	0.25	lin	mse	3.193063901048478e-07	3.0946907681617216e-07	3.3375545699208244e-07	0.12199952352949026	0.11181224554020283	0.13793676198657634	0.12192367672807833	0.1120779436526454	0.13823910899728292	0.16513104495207415	0.15252316883969042	0.18436251396884368	0.3249820526981423	0.31647271232785745	0.33321946804021807	0.32498205258143475	0.31647271217825146	0.3332194680430925	0.1212
MAR	0.35	lin	ev	0.9999996837810956	0.9999996669211393	0.999999695953096	0.8451781806589536	0.8368865908962847	0.8536068645076849	0.8453584631193921	0.8373790229511071	0.8539118117122664	0.7989719557289654	0.7880008562359386	0.8122654499461663	0.6458799239555102	0.6331532776746762	0.6615846572647903	0.6458799239659285	0.6331532776638317	0.6615846572308058	0.17029999999999998
MAR	0.35	lin	mse	3.197083395515003e-07	3.1165557500328836e-07	3.279786912215243e-07	0.1548921177793109	0.14668747604534188	0.16122114945328414	0.15471151514423082	0.14638406668045548	0.16076033025126812	0.20111245669432987	0.18946038109372593	0.21075923961767629	0.35437575936045673	0.34450819745601907	0.3671399380875734	0.35437575935099275	0.3445081974861258	0.36713993809866013	0.17029999999999998
MAR	0.44999999999999996	lin	ev	0.9999996785020103	0.999999659542519	0.9999996980973582	0.8172145055221582	0.8070628828547811	0.8250125808744775	0.8173489971569541	0.8068179359856031	0.8252577459383852	0.769604964332593	0.7574864282947313	0.7798534657595217	0.62511275180403	0.605559757160919	0.638109319320898	0.6251127518108894	0.6055597571634508	0.6381093193223784	0.22300000000000003
MAR	0.44999999999999996	lin	mse	3.224595261996953e-07	3.1014245987869993e-07	3.365655180166936e-07	0.18301706321761596	0.1760693006540546	0.19248225568165633	0.18288134278598958	0.17607810176148211	0.19300830764072113	0.2306318717393579	0.21947297411225763	0.24249363782190733	0.37524123924874164	0.3630664112491988	0.39656939059792085	0.37524123924184677	0.3630664112444031	0.3965693905952718	0.22300000000000003
