missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper	missing_cells_proportion
MAR	0.05	lin	ev	0.9999999999984315	0.9999999999983944	0.9999999999984834	0.9825053249985729	0.9793179993742873	0.9847712798120676	0.9824474219506968	0.979202458927152	0.9847599690409206	0.9822234454173444	0.978006725475569	0.985558190313083	0.9850675572190107	0.9824028256321041	0.9884138011799015	0.9850675571559384	0.9824028255674073	0.9884138011415968	0.024799999999999996
MAR	0.05	lin	mse	1.5514502566439688e-12	1.5228773345050166e-12	1.5781947886770729e-12	0.017289300955407788	0.015070575118751314	0.0206272263366545	0.017345900283498073	0.015080721651816769	0.020739256595226095	0.01758056000122442	0.014230712213284662	0.022213055621841615	0.01475722737122783	0.01133141672565171	0.016990253864932213	0.014757227434280129	0.01133141676311312	0.016990253943745544	0.024799999999999996
MAR	0.15	lin	ev	0.999999999998417	0.9999999999983591	0.9999999999984669	0.9533485236826333	0.9489999332407606	0.9573587866944251	0.9532440470795434	0.9487061790948323	0.957322213242342	0.9519203933452639	0.9477429989005777	0.9570990928347675	0.9658490406798602	0.9614412851975715	0.9711476139596006	0.965849040679654	0.9614412852113847	0.9711476139479854	0.07309999999999998
MAR	0.15	lin	mse	1.5581746337627458e-12	1.5262778331977627e-12	1.5874463099891901e-12	0.04609086427541747	0.04183552995954268	0.05017139812562652	0.04619379994301424	0.04187478499759471	0.05038315674422693	0.04750648220347914	0.04274040837356265	0.05185250067613638	0.03374747017900036	0.028764401220986217	0.038096954765714036	0.0337474701794097	0.028764401232314246	0.03809695475267063	0.07309999999999998
MAR	0.25	lin	ev	0.9999999999984253	0.9999999999983689	0.9999999999985024	0.9304048742253176	0.924910594682566	0.9350709982508457	0.9303453717490748	0.9246174063257708	0.9352699614565397	0.927709081741585	0.922565139635712	0.9323100264492391	0.9515710425769157	0.9480759160679632	0.9560416382851378	0.9515710425827877	0.9480759160850571	0.9560416382898661	0.1232
MAR	0.25	lin	mse	1.5537327281447402e-12	1.518563712062735e-12	1.594842178358963e-12	0.06876291951825478	0.06306570842085615	0.07360136444400472	0.06882225082259762	0.06287715908775687	0.07376124233553445	0.07145586381481119	0.06597608920540535	0.07615084091263791	0.047872222338623906	0.043304051841714736	0.05154406056441223	0.04787222233265668	0.04330405183727485	0.051544060527636576	0.1232
MAR	0.35	lin	ev	0.9999999999984336	0.9999999999983699	0.9999999999984784	0.9075063146226716	0.901234696008649	0.9143742366311447	0.907376243766608	0.9010077213192113	0.914374370657274	0.9023183515258102	0.8962985814558981	0.9092699542290644	0.932194408022332	0.9231452102590096	0.9393402680696986	0.9321944080245412	0.9231452102667927	0.9393402680585636	0.1712
MAR	0.35	lin	mse	1.5452679485929476e-12	1.5034396762693736e-12	1.5929632327314877e-12	0.09140447518403068	0.08339203158857988	0.09859699935967975	0.09153065903183503	0.08339380623276824	0.09878517471990247	0.09653195497191006	0.08838393146963802	0.10285042504363479	0.0670375796371134	0.059034014778497866	0.07692924906429952	0.06703757963491558	0.059034014789144884	0.07692924905829439	0.1712
MAR	0.44999999999999996	lin	ev	0.9999999999984327	0.9999999999983671	0.9999999999984921	0.8889040005541926	0.8809791181385733	0.8958620956861578	0.8888638405808784	0.8806852191350005	0.8960893123811182	0.8816733759825978	0.8750514258508784	0.8871969536967956	0.9158848907248001	0.9100930683650539	0.9248487751745008	0.9158848907343072	0.9100930683635569	0.9248487751936993	0.2209
MAR	0.44999999999999996	lin	mse	1.559178975465319e-12	1.5333041162907315e-12	1.6092896330654469e-12	0.10978371863148995	0.10367572623871256	0.1167588198991214	0.10982643223494118	0.10317566447064448	0.11724305201527258	0.11692233875232878	0.11310189405210111	0.1238594237466869	0.08309146694154733	0.07513907884963841	0.08959233252259075	0.08309146693234734	0.07513907883041665	0.08959233252441007	0.2209
MAR	0.5499999999999999	lin	ev	0.9999999999984205	0.9999999999983629	0.9999999999984989	0.8676365820983655	0.8613803571613132	0.8746972462998572	0.8673918906358551	0.860781081940192	0.8747230305840826	0.856346362317238	0.8492009572971599	0.8623530779157966	0.8984552789625695	0.8944521488634056	0.9049439397774777	0.8984552789715892	0.8944521488553514	0.9049439397957532	0.27
MAR	0.5499999999999999	lin	mse	1.5603509960623158e-12	1.5291727515820548e-12	1.5922917043731323e-12	0.13081286005661427	0.12152620116763022	0.13863434399547192	0.13105466232805896	0.12148011675827271	0.1387371130035969	0.14195785431890265	0.13272821293227155	0.14831385137572428	0.10031637829557241	0.09521567704524911	0.10523509240244816	0.10031637828656473	0.09521567704661235	0.10523509241395704	0.27
MAR	0.65	lin	ev	0.9999999999983977	0.9999999999983108	0.9999999999985023	0.8543126043829095	0.847538779557426	0.8625936131266935	0.8541008806396786	0.8469145955954072	0.862713411933704	0.8400960308924008	0.83428009888708	0.8463635415981972	0.88336548715007	0.8744731414226727	0.8917842103846276	0.8833654871455229	0.8744731413615014	0.8917842104139337	0.3177
MAR	0.65	lin	mse	1.569020576926186e-12	1.5198480131905257e-12	1.6600492640953107e-12	0.14403831073715367	0.13421118608784513	0.15106017316570186	0.14424587827474017	0.13410086026563944	0.15086248238922706	0.1581032367204283	0.14966117357463415	0.16726585663247828	0.1152861390639101	0.10515503859078484	0.12552559047529138	0.11528613906895217	0.1051550385646752	0.12552559051555684	0.3177
