missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper	missing_cells_proportion
MAR	0.05	lin	ev	0.9999999756003201	0.9999999746445889	0.9999999765944263	0.9788394413271956	0.9757138575168586	0.9816613764619275	0.9787607767250615	0.9755884910050046	0.9815966231273385	0.9728873623391268	0.9709020844416634	0.9753471224530348	0.9157732561559147	0.8994091010683014	0.9257433156260213	0.9157732563861432	0.8994091012300819	0.9257433154564474	0.024199999999999996
MAR	0.05	lin	mse	2.4504721589504293e-08	2.3896921019313817e-08	2.4940235881693048e-08	0.02127186404997015	0.018508113837432658	0.024410124819561216	0.02135053439905161	0.01863846670607086	0.024534205564903273	0.027262083855381487	0.024661266547733617	0.029476015911856834	0.08468444315787334	0.07435735369619162	0.10088421809435622	0.08468444293063764	0.07435735386411835	0.10088421793246716	0.024199999999999996
MAR	0.15	lin	ev	0.9999999756385108	0.9999999746080791	0.9999999767409472	0.949937495210883	0.9433980462575273	0.9560290094639076	0.9498502407606493	0.9431721398628568	0.9558570085044151	0.9396810563541982	0.9344317462829106	0.9455460977303298	0.8752609586112726	0.8612850164994877	0.8904807892632646	0.8752609585188658	0.8612850164667117	0.8904807892352478	0.07329999999999999
MAR	0.15	lin	mse	2.456120862333374e-08	2.4014156246390664e-08	2.512176093468816e-08	0.050327557005118616	0.04457813742093872	0.05700362515534695	0.050414325039818575	0.04475339612807894	0.05722208571900416	0.06067759326667758	0.055170695480407636	0.06606400863916341	0.1254028735525867	0.10860515098680829	0.13723591936377888	0.12540287364627073	0.10860515101525284	0.13723591939707555	0.07329999999999999
MAR	0.25	lin	ev	0.9999999756341224	0.999999974188562	0.9999999769878434	0.9213464882905498	0.9120991397524036	0.9307716697538924	0.9212668581137826	0.911733463355077	0.9307761669841715	0.9027565854588925	0.892649701393172	0.9118702815946633	0.8369676409458963	0.8293722877744499	0.8441613126621716	0.8369676409823695	0.8293722877549496	0.8441613125942207	0.1237
MAR	0.25	lin	mse	2.451447734233782e-08	2.3640016789225533e-08	2.5349316138382677e-08	0.07906151116956109	0.0701485164358188	0.08859021555573696	0.07913978997629165	0.07014255121957591	0.08895876130679647	0.09773973910097387	0.08921764355850179	0.1078073303115923	0.1639077127330208	0.1574448485418366	0.17449773443524919	0.16390771269736676	0.15744484838634817	0.17449773440708016	0.1237
MAR	0.35	lin	ev	0.9999999755800459	0.9999999745910364	0.999999976380066	0.8917722020310977	0.8866049034273944	0.8982370293658939	0.891696153826025	0.8863339074276038	0.8984276911537288	0.8701017687338609	0.8658722427428365	0.8783007482915198	0.7882480780146329	0.7664676261852671	0.8111054852757721	0.7882480780098544	0.7664676262330241	0.8111054852687907	0.1705
MAR	0.35	lin	mse	2.443897041270733e-08	2.3820315412280696e-08	2.5128409356238334e-08	0.10882334149429909	0.10204900305868167	0.11378401656086749	0.10889836520787484	0.10188745306607316	0.11391531515956457	0.13062899407363066	0.12064728879912248	0.13570215327688664	0.21285431901144766	0.18946426724085716	0.23434761960375095	0.21285431901644336	0.18946426725132098	0.23434761955555897	0.1705
MAR	0.44999999999999996	lin	ev	0.9999999758756545	0.9999999748560263	0.9999999770946821	0.8714957319176693	0.8637301038831543	0.8790879311567189	0.8715027534994574	0.8638237461735515	0.8789746500532755	0.8432728804385725	0.8391757365688741	0.8467868604440923	0.7561048391753029	0.742749387548028	0.7699526553392455	0.7561048391667731	0.7427493875435238	0.7699526552463143	0.22080000000000002
MAR	0.44999999999999996	lin	mse	2.465568038010871e-08	2.3915724771647424e-08	2.5227905136348507e-08	0.1292031762357638	0.12140380725815828	0.13788559134481587	0.1291942141145949	0.12156304028578235	0.13779190146434978	0.1575535912156128	0.1534122463759297	0.1616240198687739	0.2452538702530122	0.2283637089523252	0.2606150410635153	0.2452538702614019	0.22836370904282294	0.26061504107581046	0.22080000000000002
MAR	0.5499999999999999	lin	ev	0.9999999755184124	0.99999997376288	0.9999999779926898	0.8472644407143154	0.8439462978763584	0.854023918981902	0.8473745667416182	0.8440654161099992	0.8533936456346827	0.8124541833550495	0.8060509598791803	0.8212029866960286	0.7154309569665568	0.6988587195278866	0.7309671617146776	0.7154309569426809	0.6988587195465406	0.730967161653312	0.2675
MAR	0.5499999999999999	lin	mse	2.4601829109814373e-08	2.3387784055527223e-08	2.620747121549682e-08	0.1536447534824111	0.14638658800478274	0.15871948169961997	0.15353205950199855	0.146374002394063	0.15841566916162608	0.1885893493492247	0.17994732111624545	0.19585744999362198	0.28608000306909065	0.26724376939351835	0.3034587772185716	0.2860800030928412	0.2672437694545343	0.30345877720101855	0.2675
MAR	0.65	lin	ev	0.9999999749981129	0.9999999736674847	0.999999977098126	0.8294960385049656	0.8206952979441445	0.8381449855376363	0.8295509574914037	0.8210266391648864	0.8384807575391444	0.7854933712459313	0.7771040650430967	0.7937514384231503	0.6815421562967566	0.6703406053526035	0.6985855939748011	0.6815421563009634	0.6703406054046847	0.6985855938861072	0.3185
MAR	0.65	lin	mse	2.5165404262744327e-08	2.3911394378871645e-08	2.611485942407176e-08	0.17145621034464711	0.16083741378046607	0.18280720900831868	0.17139967613412477	0.1605045972729774	0.1825279066081159	0.21565792940972134	0.20600976846519664	0.22716233161506977	0.3201610535651427	0.303844938610745	0.3352324308522791	0.32016105356196684	0.3038449387014204	0.33523243079932163	0.3185
