missing_type	missing_rows_proportion	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper	missing_cells_proportion
MAR	0.05	lin	ev	0.9999999997419409	0.999999999736146	0.999999999746884	0.9817403424844248	0.9770435297554771	0.9858739882476313	0.981864101627574	0.9772056506525872	0.9860650235163708	0.9760001103145013	0.9703215088742806	0.9818227880088656	0.9548256548073049	0.9398060125022515	0.9646666605004737	0.9548256549017058	0.9398060133129553	0.9646666607863411	0.024399999999999998
MAR	0.05	lin	mse	2.6014292315961076e-10	2.553837247016382e-10	2.6345755350516945e-10	0.018357655137897118	0.01410016679742473	0.02293347142529918	0.018233214767437233	0.013917267332781987	0.022770919073723517	0.024148759684036784	0.01812719942231102	0.02971021215115709	0.04542510293028701	0.03526829804765749	0.06016286722579127	0.04542510283580789	0.03526829776536554	0.060162866408810446	0.024399999999999998
MAR	0.15	lin	ev	0.9999999997413864	0.9999999997340204	0.9999999997485822	0.9514334098598869	0.9471600768148001	0.9548462536963607	0.9516986215125979	0.9473523582341523	0.9550691939502316	0.9380128686614968	0.9353027945217964	0.9411463840679413	0.8976524338769973	0.8871154724151138	0.9058537000567253	0.8976524338451872	0.8871154723847285	0.9058536999392492	0.07279999999999999
MAR	0.15	lin	mse	2.6102994363364367e-10	2.537935837558266e-10	2.677639537591192e-10	0.04884572936174394	0.044992430724059604	0.053277628912737546	0.04857799087811739	0.04476305908589963	0.053083319639664464	0.06233253339158521	0.05872052170254281	0.06486495645856857	0.10295105441494212	0.09408827324248514	0.11441396981049076	0.1029510544466061	0.09408827337399021	0.11441396984161256	0.07279999999999999
MAR	0.25	lin	ev	0.999999999738692	0.99999999972689	0.9999999997491619	0.9228406905879432	0.9141288497455226	0.9298727973480911	0.9232301566865017	0.9148099318906858	0.9301234619571406	0.8999614426475976	0.8898365087937701	0.9089128609996024	0.8468492692909406	0.8303719413009422	0.8664409157891366	0.8468492693143774	0.8303719413609193	0.8664409157957091	0.12160000000000001
MAR	0.25	lin	mse	2.622720937976558e-10	2.5271188611466255e-10	2.6946459084653994e-10	0.07759258718993009	0.07056839922123859	0.08688704594876731	0.07719982126022576	0.07031654699169984	0.08603908664212592	0.10061756562220958	0.09154650532923689	0.11174933969131498	0.1540284111041838	0.13469890510368357	0.17109909088149183	0.15402841108037432	0.1346989050968772	0.17109909082103308	0.12160000000000001
MAR	0.35	lin	ev	0.9999999997407911	0.9999999997311231	0.9999999997478708	0.8926666631516464	0.887763464052324	0.8994509513782425	0.8933410462061028	0.8887745158957281	0.9000275518257297	0.8581989327274322	0.8490324314446791	0.8688681287800226	0.793210933206799	0.7800169206732598	0.8083985374846385	0.7932109331979593	0.7800169206092818	0.8083985375618562	0.1704
MAR	0.35	lin	mse	2.609307231074536e-10	2.512883807203501e-10	2.691217063806912e-10	0.10793427468274552	0.10146291658040865	0.11402144254840613	0.107255361645149	0.10088076978171956	0.11296389524911174	0.14262467132266338	0.13240225640245942	0.15315516283044278	0.20791530574891012	0.19106301134424103	0.2195541985592377	0.2079153057580343	0.19106301126652792	0.2195541986241098	0.1704
MAR	0.44999999999999996	lin	ev	0.9999999997383062	0.9999999997198724	0.9999999997507587	0.8658697201634341	0.8621339093842356	0.8717127486133568	0.8667866748501544	0.8632517564393334	0.8731813160759987	0.8220023178332104	0.8168328383876555	0.8265767479959647	0.7435253837040321	0.7254014766476469	0.7604673069078559	0.7435253836729643	0.7254014766077765	0.7604673068434411	0.21939999999999998
MAR	0.44999999999999996	lin	mse	2.636813496657381e-10	2.5676181226049767e-10	2.711350100379325e-10	0.13486547619873074	0.1290238876731527	0.14036316492404777	0.133944456762651	0.12760387182268684	0.13943904288368933	0.17896952325146492	0.17468556450399522	0.18395109039863305	0.25786031600871906	0.24059461030943016	0.27714185200420216	0.2578603160395982	0.2405946103737746	0.2771418520119306	0.21939999999999998
MAR	0.5499999999999999	lin	ev	0.9999999997415607	0.9999999997262269	0.999999999756561	0.8429021291394388	0.8375376887798787	0.8500155374096587	0.8439003602709455	0.8386970545149863	0.8512889574643299	0.7877939892935307	0.7764365040116185	0.8006743092880644	0.6924781799626001	0.6733433698742328	0.7141279755084133	0.6924781799822002	0.6733433698777855	0.714127975548982	0.2685
MAR	0.5499999999999999	lin	mse	2.602331835959938e-10	2.49262306566058e-10	2.712802694642899e-10	0.15798259476027363	0.15065619628312873	0.16439962288449983	0.1569777162791711	0.14905575179348846	0.16276097145096746	0.21337623475933604	0.20238889598780344	0.22470554299551276	0.3091515894712509	0.2900449738516674	0.33125872895316094	0.30915158945126464	0.2900449738105157	0.3312587289500738	0.2685
MAR	0.65	lin	ev	0.9999999997382444	0.9999999997242219	0.9999999997531923	0.8209313530380381	0.816614095522035	0.827944194207588	0.8221704678105171	0.8180858338441399	0.8296248811173701	0.7555025607832724	0.7490346336110296	0.7629111784113334	0.6563596472907096	0.6447861510282207	0.6705190527642579	0.6563596473025829	0.6447861511150114	0.6705190527608365	0.31880000000000003
MAR	0.65	lin	mse	2.6530948377743193e-10	2.5514564672136454e-10	2.718474316594723e-10	0.1801062199114544	0.17310160760199433	0.18730441872214512	0.1788586299764269	0.17199355020289409	0.1857969344202844	0.24591034303527456	0.23903884508210718	0.2531740044055546	0.3455541918360991	0.33230694364028224	0.3604608200470356	0.34555419182380775	0.3323069436436057	0.3604608199616868	0.31880000000000003
