missing_type	missing_rows_percentage	model	evaluation_metric	drop	drop_lower	drop_upper	mean	mean_lower	mean_upper	median	median_lower	median_upper	random	random_lower	random_upper	regression	regression_lower	regression_upper	stochastic	stochastic_lower	stochastic_upper	missing_cells_percentage
MAR	0.05	lin	ev	0.9990228384069872	0.9989755986593266	0.9990546942535938	0.9785412523723528	0.9736401737603817	0.981722067161517	0.9786511795763755	0.9737947144132724	0.981817438382127	0.9696311160802136	0.9618448661692252	0.9753286146061112	0.9541633857330831	0.9453879815870971	0.9612610692282086	0.9540018112256841	0.944889979303704	0.9612098748873751	0.023799999999999995
MAR	0.05	lin	mse	0.0009823413788335666	0.0009509984591177144	0.001025809679082806	0.02154244193900198	0.018499782848694662	0.026157847903733298	0.021432116288731894	0.018403987126061165	0.026004293799978456	0.030499006886473678	0.024966596105071813	0.03862500297388674	0.046036351737566136	0.0395825226480825	0.05562522994043193	0.04619976893511284	0.03964625185762114	0.056132004595461235	0.023799999999999995
MAR	0.15	lin	ev	0.9990246836271289	0.9989744089742794	0.9990699494066049	0.9441435065530779	0.937779536813038	0.9494971639545033	0.9444107338831813	0.9382493717566585	0.9495792128742169	0.9158574913650908	0.908557012542992	0.9234491022177984	0.9159254726023984	0.9085782153300457	0.9228419099467752	0.9158157222775726	0.9085541411115712	0.9222254801297344	0.07319999999999999
MAR	0.15	lin	mse	0.0009793291277659163	0.0009348050227530685	0.0010307563507508555	0.05609962702347675	0.05006690083902868	0.06269871159970923	0.055831061956030756	0.04998564498412881	0.062244440824762916	0.08453536582613116	0.07588830211187936	0.09301577301658903	0.08441578033635347	0.07706228142502959	0.09245015115319727	0.08452614962586537	0.07767627490733771	0.09245741270567454	0.07319999999999999
MAR	0.25	lin	ev	0.9990282903476932	0.9989879961516825	0.9990737712172372	0.9100657785222783	0.9043094019288501	0.9175100083529921	0.9104162544886876	0.9045574033272255	0.9180634170455251	0.866101301545218	0.8574495681313727	0.8722759381648747	0.8836433702197581	0.8730377829220242	0.8901215157756965	0.8834031552444526	0.8728457282993033	0.8898920896461402	0.1222
MAR	0.25	lin	mse	0.0009810680456019591	0.0009404205440569971	0.0010285621972302532	0.09028974433518244	0.08375227157705219	0.09659510788613962	0.08993726657463819	0.08310958053742024	0.09634178954042105	0.13448597213836	0.12782340526669916	0.14373823774209016	0.11685180216285909	0.11008161869352855	0.1285113610807357	0.11709232593839877	0.11032043270491737	0.12870764765031273	0.1222
MAR	0.35	lin	ev	0.9990218722820087	0.9989753216469721	0.9990666162624018	0.8774139515732371	0.8699807264408572	0.8854635190647593	0.8778863081626149	0.8705318194593038	0.885893845046869	0.8164904213762334	0.803049917888037	0.8261995119336334	0.8534010075626759	0.8454019670974915	0.8616288461619832	0.8530448643068251	0.844826047073834	0.8621280815686274	0.17070000000000002
MAR	0.35	lin	mse	0.000983277188435085	0.0009381664169803502	0.0010276576441446976	0.12310394843546364	0.11482552158551881	0.1302641888368527	0.1226303008801555	0.11439483076541028	0.12944604314101518	0.18427357299815075	0.1730706981595196	0.19773039218484595	0.14723236303076717	0.1379844249740817	0.15644447617429244	0.14759330011285332	0.13763969518290692	0.1568806685187565	0.17070000000000002
MAR	0.44999999999999996	lin	ev	0.9990038586876875	0.9989523247301046	0.9990470449499412	0.8459485015281645	0.836186185306584	0.8528225284856739	0.8466277986299904	0.8369897624359387	0.8534843644548904	0.7740269558257038	0.7643126633693008	0.7807541185939944	0.8190271836950803	0.8105560223963163	0.8282013083768116	0.8188214060053397	0.8104555325900096	0.8278687872222916	0.22060000000000005
MAR	0.44999999999999996	lin	mse	0.0009982437422460353	0.0009517473311249062	0.001042831091246691	0.15470775530787867	0.1456313051705727	0.16358493815023462	0.15402396658565137	0.144947321082912	0.1627242161204993	0.22690701128916824	0.21848415789050757	0.23546164675773043	0.18173470128677824	0.17159734728249146	0.1917831057974534	0.18194499837526013	0.1717179916497661	0.19188554292686977	0.22060000000000005
